"Record ID","Country","City","Temperature","Humidity","Precipitation","Air Quality Index","Extreme Weather Events","Climate Classification","Climate Zone","Biome Type","Heat Index","Wind Speed","Wind Direction","Season","Population Exposure","Economic Impact Estimate","Infrastructure Vulnerability Score","Date"
"bra_15","Brazil","Sao Paulo","29.4",43,"68",115,"None","Koeppen-B","Tropical","Grassland","31.5","7","N","Winter","698220","55956553.36",10,"2024-01-15"
"bra_150","Brazil","Sao Paulo","6.7",72,"14.8",257,"None","Koeppen-C","Tropical","Forest","10.3","36.5","SE","Spring","5948876","85652596.18",6,"2024-05-29"
"bra_1500","Brazil","Brasilia ","-2.4",49,"150.9",413,"None","Koeppen-C","Tropical","Tundra","0.1","31.6","E","Winter","7508182","37710474.07",5,"2024-02-07"
"bra_1501","Brazil","Brasilia ","9.7",35,"25.6",174,"Heatwave","Koeppen-A","Tropical","Tundra","11.4","31.9","E","Winter","5891321","70784052.08",6,"2024-02-08"
"bra_1502","Brazil","Brasilia ","35.8",87,"164.7",480,"None","Koeppen-B","Tropical","Desert","40.1","1.1","NW","Winter","6424202","80086468.92",4,"2024-02-09"
"bra_1503","Brazil","Brasilia ","14.9",54,"38.8",398,"Heatwave","Koeppen-A","Tropical","Grassland","17.6","8.2","E","Winter","4782413","93565800.89",5,"2024-02-10"
"bra_1504","Brazil","Brasilia ","38.5",41,"51.2",80,"Drought","Koeppen-C","Tropical","Forest","40.5","3.7","SE","Winter","1579606","46845960.09",3,"2024-02-11"
"bra_1505","Brazil","Brasilia ","-3.3",96,"6",63,"None","Koeppen-C","Tropical","Wetland","1.5","15.1","W","Winter","5682384","58158491.05",8,"2024-02-12"
"bra_1506","Brazil","Brasilia ","36.2",19,"0.4",283,"None","Koeppen-D","Tropical","Desert","37.2","35.6","N","Winter","9616521","57090684.5",5,"2024-02-13"
"bra_1507","Brazil","Brasilia ","1.8",22,"54.4",252,"None","Koeppen-A","Tropical","Forest","2.9","27.9","S","Winter","7870918","4237386.09",6,"2024-02-14"
"bra_1508","Brazil","Brasilia ","32.1",76,"19.9",389,"None","Koeppen-A","Tropical","Forest","35.9","11.9","W","Winter","3508881","83220376.92",9,"2024-02-15"
"bra_1509","Brazil","Brasilia ","34.1",40,"0.5",30,"None","Koeppen-B","Tropical","Forest","36.1","16.7","S","Winter","7203701","20226013.6",2,"2024-02-16"
"bra_151","Brazil","Sao Paulo","25",67,"25.1",318,"None","Koeppen-C","Tropical","Wetland","28.4","36.4","N","Spring","9301140","92246751.63",9,"2024-05-30"
"bra_1510","Brazil","Brasilia ","-5.7",67,"79.8",38,"None","Koeppen-A","Tropical","Desert","-2.4","14.1","W","Winter","2262143","28982318.51",7,"2024-02-17"
"bra_1511","Brazil","Brasilia ","44",54,"39.7",145,"Hurricane","Koeppen-C","Tropical","Desert","46.7","38.8","NE","Winter","9266540","37816429.41",1,"2024-02-18"
"bra_1512","Brazil","Brasilia ","15",59,"73.4",12,"None","Koeppen-C","Tropical","Wetland","17.9","37.2","NE","Winter","8997055","19746156.02",4,"2024-02-19"
"bra_1513","Brazil","Brasilia ","32.9",39,"189.6",139,"Drought","Koeppen-B","Tropical","Tundra","34.9","18.9","NE","Winter","2326885","14667307.23",5,"2024-02-20"
"bra_1514","Brazil","Brasilia ","9",49,"16.7",63,"Heatwave","Koeppen-A","Tropical","Grassland","11.4","16.3","SE","Winter","3851048","29900125.25",6,"2024-02-21"
"bra_1515","Brazil","Brasilia ","0.5",49,"113.2",295,"None","Koeppen-A","Tropical","Grassland","3","11.2","W","Winter","4500531","76559981.09",4,"2024-02-22"
"bra_1516","Brazil","Brasilia ","-8.9",47,"53.3",454,"None","Koeppen-B","Tropical","Forest","-6.6","11.9","N","Winter","9472208","49441840.78",9,"2024-02-23"
"bra_1517","Brazil","Brasilia ","12",48,"44.6",16,"None","Koeppen-A","Tropical","Tundra","14.4","13.5","NE","Winter","7428763","44189654.35",8,"2024-02-24"
"bra_1518","Brazil","Brasilia ","4.6",38,"142.1",243,"None","Koeppen-D","Tropical","Tundra","6.5","32.5","N","Winter","7982844","69817410.88",7,"2024-02-25"
"bra_1519","Brazil","Brasilia ","27.4",31,"62.1",376,"Flood","Koeppen-D","Tropical","Wetland","28.9","6.9","E","Winter","4805033","54189366.45",1,"2024-02-26"
"bra_152","Brazil","Sao Paulo","-1",39,"52.5",406,"None","Koeppen-C","Tropical","Forest","1","7.5","W","Spring","5403051","33751620.84",9,"2024-05-31"
"bra_1520","Brazil","Brasilia ","-9.1",13,"151.4",48,"None","Koeppen-C","Tropical","Grassland","-8.4","34","NW","Winter","1728530","12745928.29",4,"2024-02-27"
"bra_1521","Brazil","Brasilia ","29.7",44,"71.1",216,"None","Koeppen-D","Tropical","Forest","31.9","9.1","S","Winter","1692973","97822801.15",2,"2024-02-28"
"bra_1522","Brazil","Brasilia ","14.3",80,"107.4",15,"None","Koeppen-D","Tropical","Grassland","18.3","7","W","Winter","5288328","14011825.04",8,"2024-02-29"
"bra_1523","Brazil","Brasilia ","31.7",77,"59.5",94,"Hurricane","Koeppen-D","Tropical","Tundra","35.5","17.6","NW","Spring","1607239","29393313.04",5,"2024-03-01"
"bra_1524","Brazil","Brasilia ","12.4",95,"194.7",485,"None","Koeppen-A","Tropical","Desert","17.1","11.2","SE","Spring","3919667","43176645.11",10,"2024-03-02"
"bra_1525","Brazil","Brasilia ","40.7",67,"43.9",104,"None","Koeppen-D","Tropical","Grassland","44.1","36.6","NE","Spring","9011432","73604057.65",5,"2024-03-03"
"bra_1526","Brazil","Brasilia ","11.3",94,"135.7",481,"Drought","Koeppen-B","Tropical","Tundra","16","16.5","W","Spring","2875943","64493423.31",4,"2024-03-04"
"bra_1527","Brazil","Brasilia ","33.6",23,"52",464,"None","Koeppen-B","Tropical","Tundra","34.8","18.4","E","Spring","3266102","92092072.75",9,"2024-03-05"
"bra_1528","Brazil","Brasilia ","23.3",31,"67.1",272,"Heatwave","Koeppen-B","Tropical","Grassland","24.9","19.5","NE","Spring","1441492","98000553.57",7,"2024-03-06"
"bra_1529","Brazil","Brasilia ","19.1",18,"95.1",474,"None","Koeppen-A","Tropical","Wetland","20","16.4","SE","Spring","2980207","35864007.39",7,"2024-03-07"
"bra_153","Brazil","Sao Paulo","16.3",93,"164.5",256,"None","Koeppen-B","Tropical","Grassland","21","15.2","NE","Summer","7918209","81828997.66",9,"2024-06-01"
"bra_1530","Brazil","Brasilia ","12.7",29,"48.4",333,"None","Koeppen-B","Tropical","Tundra","14.1","29.9","W","Spring","5368822","74567067.9",5,"2024-03-08"
"bra_1531","Brazil","Brasilia ","41.8",27,"188.4",484,"Heatwave","Koeppen-D","Tropical","Forest","43.1","38.4","SE","Spring","2039426","40378053.78",4,"2024-03-09"
"bra_1532","Brazil","Brasilia ","32.6",72,"31.8",10,"None","Koeppen-C","Tropical","Tundra","36.2","2.2","N","Spring","4210182","26717449.03",2,"2024-03-10"
"bra_1533","Brazil","Brasilia ","2.1",89,"44.7",236,"None","Koeppen-D","Tropical","Tundra","6.6","12.6","SE","Spring","546621","58615956.35",9,"2024-03-11"
"bra_1534","Brazil","Brasilia ","34.3",60,"101.2",127,"None","Koeppen-C","Tropical","Desert","37.3","1.3","NW","Spring","3268150","91806667.41",7,"2024-03-12"
"bra_1535","Brazil","Brasilia ","34.2",66,"58.8",482,"None","Koeppen-D","Tropical","Wetland","37.5","36.9","SE","Spring","9018128","64069928.59",3,"2024-03-13"
"bra_1536","Brazil","Brasilia ","23",42,"50.6",472,"None","Koeppen-C","Tropical","Wetland","25.1","28.3","N","Spring","945298","96603195.33",7,"2024-03-14"
"bra_1537","Brazil","Brasilia ","26.5",35,"173.8",49,"None","Koeppen-D","Tropical","Forest","28.2","0.5","W","Spring","4130841","63595101.94",3,"2024-03-15"
"bra_1538","Brazil","Brasilia ","41.8",96,"87.7",375,"None","Koeppen-C","Tropical","Grassland","46.6","16.5","N","Spring","4893596","34648317.13",2,"2024-03-16"
"bra_1539","Brazil","Brasilia ","7.1",87,"160.8",450,"Flood","Koeppen-D","Tropical","Forest","11.4","16","SE","Spring","8411409","32958159.67",2,"2024-03-17"
"bra_154","Brazil","Sao Paulo","10.7",77,"76.4",426,"None","Koeppen-B","Tropical","Wetland","14.5","36","E","Summer","3288163","38727511.19",9,"2024-06-02"
"bra_1540","Brazil","Brasilia ","41.7",85,"123.2",79,"None","Koeppen-B","Tropical","Tundra","46","32.4","W","Spring","6945283","96903438.52",6,"2024-03-18"
"bra_1541","Brazil","Brasilia ","-4.5",13,"117.8",499,"None","Koeppen-B","Tropical","Grassland","-3.9","9.3","SW","Spring","9692062","88795174.1",6,"2024-03-19"
"bra_1542","Brazil","Brasilia ","4.9",28,"174.5",271,"None","Koeppen-D","Tropical","Desert","6.3","37.1","NW","Spring","9153471","55702273.34",10,"2024-03-20"
"bra_1543","Brazil","Brasilia ","7",90,"89.9",47,"None","Koeppen-A","Tropical","Tundra","11.5","18.8","N","Spring","6826715","89105871.18",4,"2024-03-21"
"bra_1544","Brazil","Brasilia ","32.6",16,"55",157,"None","Koeppen-D","Tropical","Tundra","33.4","27.3","W","Spring","9875326","59970612.82",1,"2024-03-22"
"bra_1545","Brazil","Brasilia ","-0.4",35,"128.1",343,"Heatwave","Koeppen-B","Tropical","Tundra","1.4","11.2","S","Spring","3420249","91271262.38",8,"2024-03-23"
"bra_1546","Brazil","Brasilia ","0.7",63,"113.4",461,"None","Koeppen-D","Tropical","Tundra","3.9","25.2","W","Spring","5051783","14139475.91",6,"2024-03-24"
"bra_1547","Brazil","Brasilia ","-9.7",58,"146.3",56,"None","Koeppen-C","Tropical","Desert","-6.8","1.7","W","Spring","7097088","29145930.25",5,"2024-03-25"
"bra_1548","Brazil","Brasilia ","-5.4",93,"122",176,"None","Koeppen-D","Tropical","Wetland","-0.8","33.6","W","Spring","8558167","79593173.67",3,"2024-03-26"
"bra_1549","Brazil","Brasilia ","-0.2",71,"154.3",262,"None","Koeppen-C","Tropical","Wetland","3.4","8.3","NE","Spring","9186240","31359971.21",2,"2024-03-27"
"bra_155","Brazil","Sao Paulo","7",71,"181.6",116,"Drought","Koeppen-D","Tropical","Forest","10.6","9.6","NE","Summer","1451158","43065354.03",7,"2024-06-03"
"bra_1550","Brazil","Brasilia ","3",12,"120",329,"None","Koeppen-B","Tropical","Tundra","3.6","12.8","NE","Spring","8533917","27881489.08",5,"2024-03-28"
"bra_1551","Brazil","Brasilia ","27.3",93,"104.3",359,"None","Koeppen-A","Tropical","Desert","32","30.9","NW","Spring","9267640","78048071.67",8,"2024-03-29"
"bra_1552","Brazil","Brasilia ","41.9",76,"148.4",202,"None","Koeppen-B","Tropical","Tundra","45.7","10.1","NW","Spring","6801434","38400868.26",8,"2024-03-30"
"bra_1553","Brazil","Brasilia ","27.6",94,"130.1",473,"None","Koeppen-D","Tropical","Tundra","32.3","20","SW","Spring","4434753","72471243.63",1,"2024-03-31"
"bra_1554","Brazil","Brasilia ","11.5",23,"95.8",137,"None","Koeppen-C","Tropical","Grassland","12.7","3","SE","Spring","6565440","63728909.96",1,"2024-04-01"
"bra_1555","Brazil","Brasilia ","12.8",49,"91",82,"Drought","Koeppen-C","Tropical","Grassland","15.2","18.8","NE","Spring","251889","78113495.85",5,"2024-04-02"
"bra_1556","Brazil","Brasilia ","24.3",83,"154.7",311,"None","Koeppen-C","Tropical","Wetland","28.5","17.9","SW","Spring","1734988","10388926.53",1,"2024-04-03"
"bra_1557","Brazil","Brasilia ","8.1",31,"168.1",301,"Flood","Koeppen-B","Tropical","Grassland","9.7","32","SW","Spring","8621772","19447422.64",9,"2024-04-04"
"bra_1558","Brazil","Brasilia ","10.5",79,"173",398,"None","Koeppen-C","Tropical","Tundra","14.4","11.6","W","Spring","5605087","50192858.38",2,"2024-04-05"
"bra_1559","Brazil","Brasilia ","-3.1",59,"117.3",388,"None","Koeppen-A","Tropical","Tundra","-0.1","28.6","E","Spring","4737054","34464627.07",5,"2024-04-06"
"bra_156","Brazil","Sao Paulo","21.7",90,"170.5",107,"None","Koeppen-C","Tropical","Grassland","26.2","18","NW","Summer","7688884","16640042.15",2,"2024-06-04"
"bra_1560","Brazil","Brasilia ","14.7",65,"43.2",136,"None","Koeppen-C","Tropical","Wetland","17.9","32.1","S","Spring","7157025","7571076.91",2,"2024-04-07"
"bra_1561","Brazil","Brasilia ","1.3",42,"143.9",382,"None","Koeppen-B","Tropical","Grassland","3.4","1.1","E","Spring","2211768","75466604.01",1,"2024-04-08"
"bra_1562","Brazil","Brasilia ","-7.4",79,"10.9",24,"None","Koeppen-D","Tropical","Forest","-3.5","18.9","N","Spring","4016606","74366800.31",7,"2024-04-09"
"bra_1563","Brazil","Brasilia ","0.2",77,"182",77,"Heatwave","Koeppen-C","Tropical","Grassland","4","30","E","Spring","3082548","95625540.9",4,"2024-04-10"
"bra_1564","Brazil","Brasilia ","12.7",36,"128.8",380,"Drought","Koeppen-A","Tropical","Desert","14.5","6.1","NE","Spring","2460682","33925239.31",9,"2024-04-11"
"bra_1565","Brazil","Brasilia ","-8",20,"90.6",492,"None","Koeppen-D","Tropical","Grassland","-7","19","S","Spring","4054459","60567961",4,"2024-04-12"
"bra_1566","Brazil","Brasilia ","40.1",58,"28.2",21,"None","Koeppen-C","Tropical","Grassland","43","3.7","S","Spring","1000703","17702856.2",1,"2024-04-13"
"bra_1567","Brazil","Brasilia ","31.8",38,"138.3",374,"None","Koeppen-A","Tropical","Tundra","33.7","9.6","NE","Spring","7950645","82059276.13",5,"2024-04-14"
"bra_1568","Brazil","Brasilia ","24.8",21,"44.2",307,"None","Koeppen-A","Tropical","Grassland","25.9","6.6","SE","Spring","6635745","92138746.6",10,"2024-04-15"
"bra_1569","Brazil","Brasilia ","43.2",72,"3.6",482,"None","Koeppen-A","Tropical","Wetland","46.8","38.9","E","Spring","791131","90364098.31",4,"2024-04-16"
"bra_157","Brazil","Sao Paulo","8.5",37,"172.9",418,"Heatwave","Koeppen-D","Tropical","Wetland","10.3","20.4","NW","Summer","9795193","73781278.16",2,"2024-06-05"
"bra_1570","Brazil","Brasilia ","0.7",96,"72.2",310,"None","Koeppen-B","Tropical","Tundra","5.5","3.9","NE","Spring","6095569","90551378.73",9,"2024-04-17"
"bra_1571","Brazil","Brasilia ","1.4",17,"159",481,"Drought","Koeppen-A","Tropical","Tundra","2.2","38.2","N","Spring","277932","46599622.38",8,"2024-04-18"
"bra_1572","Brazil","Brasilia ","-5.2",46,"116.4",413,"None","Koeppen-D","Tropical","Wetland","-2.9","32.3","NW","Spring","9928985","4772432.64",1,"2024-04-19"
"bra_1573","Brazil","Brasilia ","37.3",77,"66.7",473,"None","Koeppen-C","Tropical","Wetland","41.1","5.5","E","Spring","7442375","78819427.58",5,"2024-04-20"
"bra_1574","Brazil","Brasilia ","17.4",49,"14.6",433,"None","Koeppen-B","Tropical","Desert","19.8","16.2","SE","Spring","4983555","37592629.18",5,"2024-04-21"
"bra_1575","Brazil","Brasilia ","11.2",42,"39.4",479,"None","Koeppen-B","Tropical","Wetland","13.3","35","SW","Spring","2480737","51955035.89",7,"2024-04-22"
"bra_1576","Brazil","Brasilia ","22.4",92,"17",127,"None","Koeppen-A","Tropical","Desert","27","12.7","N","Spring","6506453","9013137.59",3,"2024-04-23"
"bra_1577","Brazil","Brasilia ","18.4",18,"132.2",232,"None","Koeppen-D","Tropical","Desert","19.3","29.9","W","Spring","5430838","60098249.71",5,"2024-04-24"
"bra_1578","Brazil","Brasilia ","39.4",61,"187.7",292,"Drought","Koeppen-A","Tropical","Forest","42.4","34.2","N","Spring","2226141","52622139.54",6,"2024-04-25"
"bra_1579","Brazil","Brasilia ","-3.6",34,"50.7",44,"Drought","Koeppen-D","Tropical","Forest","-1.9","8.6","SW","Spring","9810073","80764552.45",5,"2024-04-26"
"bra_158","Brazil","Sao Paulo","10.8",24,"5.5",28,"None","Koeppen-A","Tropical","Wetland","12","37.2","SE","Summer","8964389","73399231.36",8,"2024-06-06"
"bra_1580","Brazil","Brasilia ","42.3",53,"185.1",478,"None","Koeppen-C","Tropical","Desert","44.9","37.8","SW","Spring","1799666","52332119.14",8,"2024-04-27"
"bra_1581","Brazil","Brasilia ","4.4",15,"126.6",18,"None","Koeppen-C","Tropical","Desert","5.2","5.8","NE","Spring","3895594","72172995.59",8,"2024-04-28"
"bra_1582","Brazil","Brasilia ","-4.9",63,"23.2",411,"None","Koeppen-A","Tropical","Grassland","-1.8","9.6","SE","Spring","5190664","94156689.99",9,"2024-04-29"
"bra_1583","Brazil","Brasilia ","43.5",52,"27.8",247,"None","Koeppen-B","Tropical","Grassland","46.1","20.6","SW","Spring","138876","33291838.42",3,"2024-04-30"
"bra_1584","Brazil","Brasilia ","11.8",88,"110.3",401,"None","Koeppen-B","Tropical","Forest","16.2","18.2","W","Spring","9280147","96189319.67",10,"2024-05-01"
"bra_1585","Brazil","Brasilia ","5.2",69,"40.5",454,"Flood","Koeppen-D","Tropical","Grassland","8.7","3.4","SE","Spring","4171771","79718491.52",8,"2024-05-02"
"bra_1586","Brazil","Brasilia ","20.6",92,"133.3",127,"Flood","Koeppen-B","Tropical","Wetland","25.2","17.6","E","Spring","6942962","7990511.32",6,"2024-05-03"
"bra_1587","Brazil","Brasilia ","39.4",67,"64.4",373,"None","Koeppen-B","Tropical","Wetland","42.8","27.7","E","Spring","3669606","46527129.17",7,"2024-05-04"
"bra_1588","Brazil","Brasilia ","25.2",21,"14.1",74,"Heatwave","Koeppen-B","Tropical","Wetland","26.2","18.3","SE","Spring","6609350","193387.4",10,"2024-05-05"
"bra_1589","Brazil","Brasilia ","4.8",12,"147.1",209,"None","Koeppen-A","Tropical","Wetland","5.4","9.8","NE","Spring","6631190","93314829.72",6,"2024-05-06"
"bra_159","Brazil","Sao Paulo","34.7",27,"149.2",436,"None","Koeppen-D","Tropical","Forest","36.1","29.9","S","Summer","7911449","67268979",5,"2024-06-07"
"bra_1590","Brazil","Brasilia ","-5.3",25,"88.1",283,"Heatwave","Koeppen-B","Tropical","Grassland","-4","25.5","SW","Spring","1678626","30182371.39",5,"2024-05-07"
"bra_1591","Brazil","Brasilia ","2.6",92,"125.4",338,"None","Koeppen-A","Tropical","Tundra","7.2","36.6","S","Spring","1672191","70674549.16",4,"2024-05-08"
"bra_1592","Brazil","Brasilia ","19.1",96,"19.7",35,"None","Koeppen-A","Tropical","Wetland","23.9","2.5","S","Spring","6625661","88000602.25",10,"2024-05-09"
"bra_1593","Brazil","Brasilia ","15.2",98,"128.1",412,"None","Koeppen-A","Tropical","Wetland","20.1","12.3","NE","Spring","3620561","20255175.05",3,"2024-05-10"
"bra_1594","Brazil","Brasilia ","22",53,"178.5",321,"None","Koeppen-A","Tropical","Desert","24.6","2.9","W","Spring","4832944","74330438.97",2,"2024-05-11"
"bra_1595","Brazil","Brasilia ","16.8",35,"102.3",489,"None","Koeppen-A","Tropical","Tundra","18.6","0.8","S","Spring","8568016","44838054.71",6,"2024-05-12"
"bra_1596","Brazil","Brasilia ","43.8",88,"118.2",384,"None","Koeppen-B","Tropical","Wetland","48.2","38.4","W","Spring","6237888","22139959.39",7,"2024-05-13"
"bra_1597","Brazil","Brasilia ","37.6",61,"7.9",111,"None","Koeppen-D","Tropical","Grassland","40.6","27.4","S","Spring","7533205","42135883.37",8,"2024-05-14"
"bra_1598","Brazil","Brasilia ","31.2",23,"36.6",466,"Heatwave","Koeppen-B","Tropical","Desert","32.4","37","NW","Spring","7576421","80518031.74",2,"2024-05-15"
"bra_1599","Brazil","Brasilia ","26.3",85,"7.1",128,"None","Koeppen-D","Tropical","Desert","30.6","36.7","S","Spring","1490968","98688587.52",9,"2024-05-16"
"bra_16","Brazil","Sao Paulo","30.6",93,"28.2",212,"None","Koeppen-B","Tropical","Wetland","35.2","34.5","W","Winter","1147832","57992243.43",4,"2024-01-16"
"bra_160","Brazil","Sao Paulo","38.6",59,"120.1",224,"Flood","Koeppen-D","Tropical","Grassland","41.6","7.6","S","Summer","6740746","83138914.85",8,"2024-06-08"
"bra_1600","Brazil","Brasilia ","27.1",35,"117.2",265,"None","Koeppen-C","Tropical","Forest","28.9","7","SE","Spring","675883","20149873.02",6,"2024-05-17"
"bra_1601","Brazil","Brasilia ","24.1",78,"95.2",273,"None","Koeppen-B","Tropical","Forest","28","19","S","Spring","3368615","77181570.16",4,"2024-05-18"
"bra_1602","Brazil","Brasilia ","11.2",90,"93.6",288,"None","Koeppen-D","Tropical","Desert","15.7","30.5","E","Spring","9942284","95761185.14",2,"2024-05-19"
"bra_1603","Brazil","Brasilia ","15.2",41,"57.3",489,"None","Koeppen-D","Tropical","Tundra","17.2","20.9","NE","Spring","9755844","86698684.37",7,"2024-05-20"
"bra_1604","Brazil","Brasilia ","7.2",86,"191.5",343,"None","Koeppen-C","Tropical","Grassland","11.5","21","NW","Spring","7465003","84352381.11",5,"2024-05-21"
"bra_1605","Brazil","Brasilia ","41.4",99,"114.9",299,"None","Koeppen-D","Tropical","Desert","46.4","8.5","SE","Spring","4416134","60821541.07",7,"2024-05-22"
"bra_1606","Brazil","Brasilia ","17.2",48,"52.4",39,"None","Koeppen-C","Tropical","Tundra","19.6","7","E","Spring","8087254","48302757.21",6,"2024-05-23"
"bra_1607","Brazil","Brasilia ","43.2",47,"26.2",285,"None","Koeppen-C","Tropical","Tundra","45.6","20.1","SW","Spring","7442155","70800353.35",10,"2024-05-24"
"bra_1608","Brazil","Brasilia ","-6.5",98,"147.6",261,"None","Koeppen-D","Tropical","Tundra","-1.6","14.3","NE","Spring","2785695","40949269.29",10,"2024-05-25"
"bra_1609","Brazil","Brasilia ","-6.9",80,"167.4",417,"None","Koeppen-C","Tropical","Forest","-2.9","31","E","Spring","6455956","79327756.31",3,"2024-05-26"
"bra_161","Brazil","Sao Paulo","27.7",88,"48.2",255,"None","Koeppen-A","Tropical","Grassland","32.1","34","NE","Summer","9462973","30232740.67",9,"2024-06-09"
"bra_1610","Brazil","Brasilia ","6.7",51,"161.2",277,"None","Koeppen-B","Tropical","Desert","9.2","29.8","N","Spring","5205446","66005878.98",6,"2024-05-27"
"bra_1611","Brazil","Brasilia ","1.2",98,"126.4",69,"None","Koeppen-B","Tropical","Tundra","6.1","39.9","E","Spring","1604425","96192531.89",8,"2024-05-28"
"bra_1612","Brazil","Brasilia ","44.3",21,"162.9",206,"None","Koeppen-D","Tropical","Desert","45.3","3.2","NW","Spring","9089410","32333740.53",3,"2024-05-29"
"bra_1613","Brazil","Brasilia ","8.6",11,"68.6",332,"None","Koeppen-D","Tropical","Desert","9.2","22.9","SE","Spring","7469453","24627917.15",10,"2024-05-30"
"bra_1614","Brazil","Brasilia ","34.8",48,"193",421,"None","Koeppen-B","Tropical","Grassland","37.2","5.4","N","Spring","9844810","13193061.84",8,"2024-05-31"
"bra_1615","Brazil","Brasilia ","10.1",11,"26.9",362,"None","Koeppen-C","Tropical","Grassland","10.7","37.6","W","Summer","557369","70561611.17",3,"2024-06-01"
"bra_1616","Brazil","Brasilia ","38",48,"101.1",148,"None","Koeppen-C","Tropical","Desert","40.4","36.5","W","Summer","5868501","58718121.01",6,"2024-06-02"
"bra_1617","Brazil","Brasilia ","16.4",35,"45.4",306,"None","Koeppen-D","Tropical","Wetland","18.1","21.3","NE","Summer","4775328","26925786.27",9,"2024-06-03"
"bra_1618","Brazil","Brasilia ","-3.9",78,"118.6",454,"None","Koeppen-D","Tropical","Grassland","0","18.7","NE","Summer","9106025","10439495.77",9,"2024-06-04"
"bra_1619","Brazil","Brasilia ","44.1",95,"43",325,"None","Koeppen-D","Tropical","Desert","48.9","13.7","N","Summer","2844199","84308018.1",2,"2024-06-05"
"bra_162","Brazil","Sao Paulo","22.5",36,"123.1",284,"None","Koeppen-A","Tropical","Desert","24.3","33.1","N","Summer","9709762","90250658.17",7,"2024-06-10"
"bra_1620","Brazil","Brasilia ","27.4",54,"196.9",110,"None","Koeppen-A","Tropical","Forest","30.1","9.6","SE","Summer","5243395","74673386.39",5,"2024-06-06"
"bra_1621","Brazil","Brasilia ","42.4",96,"156.8",208,"None","Koeppen-B","Tropical","Forest","47.2","27.4","E","Summer","8491662","31555689.63",3,"2024-06-07"
"bra_1622","Brazil","Brasilia ","1.8",86,"137.4",82,"None","Koeppen-D","Tropical","Desert","6.1","14.4","NW","Summer","881541","42469663.33",6,"2024-06-08"
"bra_1623","Brazil","Brasilia ","24.9",35,"155.1",393,"None","Koeppen-A","Tropical","Wetland","26.6","7.6","W","Summer","190469","28599780.11",8,"2024-06-09"
"bra_1624","Brazil","Brasilia ","40.5",22,"24.6",349,"None","Koeppen-A","Tropical","Grassland","41.6","24.7","SW","Summer","8571806","22607674.74",8,"2024-06-10"
"bra_1625","Brazil","Brasilia ","10.1",35,"155.5",409,"None","Koeppen-D","Tropical","Wetland","11.8","14.2","SW","Summer","8936860","9357348.12",4,"2024-06-11"
"bra_1626","Brazil","Brasilia ","40.7",83,"176.7",162,"None","Koeppen-D","Tropical","Tundra","44.9","38.1","N","Summer","4693963","32160070.59",5,"2024-06-12"
"bra_1627","Brazil","Brasilia ","37.2",70,"183.6",125,"None","Koeppen-C","Tropical","Tundra","40.7","26.5","SW","Summer","641850","85033603.04",10,"2024-06-13"
"bra_1628","Brazil","Brasilia ","28.4",73,"17.9",447,"None","Koeppen-C","Tropical","Desert","32","17.9","W","Summer","9714190","31096780.47",9,"2024-06-14"
"bra_1629","Brazil","Brasilia ","19.9",86,"55.4",459,"None","Koeppen-B","Tropical","Wetland","24.2","12.5","NW","Summer","9070616","48561971.52",7,"2024-06-15"
"bra_163","Brazil","Sao Paulo","-5.4",89,"116.7",80,"Drought","Koeppen-A","Tropical","Grassland","-1","4.7","N","Summer","299939","35781999.33",4,"2024-06-11"
"bra_1630","Brazil","Brasilia ","8.9",19,"118.1",432,"None","Koeppen-A","Tropical","Wetland","9.8","27","E","Summer","1586527","11456795.25",1,"2024-06-16"
"bra_1631","Brazil","Brasilia ","10.2",13,"35.3",359,"None","Koeppen-C","Tropical","Wetland","10.8","20.7","NE","Summer","1479716","55892532.81",1,"2024-06-17"
"bra_1632","Brazil","Brasilia ","28.8",36,"137.6",352,"None","Koeppen-D","Tropical","Tundra","30.6","36.4","W","Summer","7153065","78463755.57",8,"2024-06-18"
"bra_1633","Brazil","Brasilia ","40",86,"6.9",404,"None","Koeppen-B","Tropical","Grassland","44.3","39.9","NE","Summer","1664088","11274887.46",6,"2024-06-19"
"bra_1634","Brazil","Brasilia ","35.3",21,"165.2",75,"None","Koeppen-C","Tropical","Wetland","36.3","33.9","SW","Summer","756488","71910705.47",1,"2024-06-20"
"bra_1635","Brazil","Brasilia ","6.9",37,"124.3",390,"None","Koeppen-D","Tropical","Grassland","8.8","25.3","NW","Summer","5191145","13644143.42",10,"2024-06-21"
"bra_1636","Brazil","Brasilia ","-4.6",40,"42.3",300,"Hurricane","Koeppen-D","Tropical","Grassland","-2.6","35.7","SE","Summer","9205783","79311054.67",1,"2024-06-22"
"bra_1637","Brazil","Brasilia ","2.5",41,"147.4",448,"None","Koeppen-D","Tropical","Forest","4.6","32.9","SW","Summer","5907223","22792905.79",10,"2024-06-23"
"bra_1638","Brazil","Brasilia ","36.5",35,"167.8",306,"None","Koeppen-B","Tropical","Forest","38.2","23.3","SW","Summer","4262183","2863509.49",2,"2024-06-24"
"bra_1639","Brazil","Brasilia ","11.2",69,"85.7",470,"Flood","Koeppen-B","Tropical","Desert","14.6","8.1","W","Summer","7313236","54023100.41",8,"2024-06-25"
"bra_164","Brazil","Sao Paulo","35.8",56,"99.5",353,"None","Koeppen-A","Tropical","Desert","38.6","29","S","Summer","1037169","58229870.72",2,"2024-06-12"
